"Table","Issue","Column/PK","Details","DB1 Info","DB2 Info"
"orders","Column changed","amount","Type: float -> decimal(10,2)","float","decimal(10,2)"
"orders","Column missing in db2","status","varchar(20)","YES",""
"orders","Content differs","","amount: 250.75 -> 250.00; status: Pending -> None","",""
"orders","Content differs","","amount: 540.5 -> 540.00; status: Completed -> None","",""
"orders","Content differs","","status: Cancelled -> None","",""
"orders","Content differs","","amount: 310.4 -> 310.00; status: Pending -> None","",""
"orders","Content differs","","status: Completed -> None","",""
"departments","Missing in db2","","","",""
"employees","Column missing in db2","email","varchar(100)","YES",""
"employees","Content row count differs","","5 rows in db1 -> 10 rows in db2","",""
